,OPR_DT,OPR_HR,TAC_AREA_NAME,MW
1740,2010-01-15,13,PGE-TAC,5866
1741,2010-01-15,1,PGE-TAC,4350
1742,2010-01-15,17,PGE-TAC,5988
1743,2010-01-15,15,PGE-TAC,5713
1744,2010-01-15,9,PGE-TAC,5792
1745,2010-01-15,6,PGE-TAC,4719
1746,2010-01-15,19,PGE-TAC,5616
1747,2010-01-15,14,PGE-TAC,5781
1748,2010-01-15,7,PGE-TAC,5423
1749,2010-01-15,5,PGE-TAC,4261
1750,2010-01-15,24,PGE-TAC,4642
1751,2010-01-15,23,PGE-TAC,5066
1848,2010-01-16,2,PGE-TAC,4136
1849,2010-01-16,8,PGE-TAC,4641
1850,2010-01-16,20,PGE-TAC,5553
1851,2010-01-16,21,PGE-TAC,5420
1852,2010-01-16,6,PGE-TAC,4237
1853,2010-01-16,16,PGE-TAC,5039
1854,2010-01-16,23,PGE-TAC,4863
1855,2010-01-16,4,PGE-TAC,4019
1856,2010-01-16,11,PGE-TAC,5091
1857,2010-01-16,12,PGE-TAC,5087
1858,2010-01-16,14,PGE-TAC,5025
1859,2010-01-16,19,PGE-TAC,5665
1860,2010-01-16,22,PGE-TAC,5160
1861,2010-01-16,5,PGE-TAC,4079
1862,2010-01-16,7,PGE-TAC,4489
1863,2010-01-16,9,PGE-TAC,4844
1864,2010-01-16,10,PGE-TAC,5044
1865,2010-01-16,13,PGE-TAC,5071
1866,2010-01-16,3,PGE-TAC,4052
1867,2010-01-16,1,PGE-TAC,4350
1868,2010-01-16,15,PGE-TAC,4990
1869,2010-01-16,17,PGE-TAC,5289
1870,2010-01-16,24,PGE-TAC,4456
1871,2010-01-16,18,PGE-TAC,5737
1968,2010-01-17,22,PGE-TAC,5139
1969,2010-01-17,8,PGE-TAC,4309
1970,2010-01-17,6,PGE-TAC,3991
1971,2010-01-17,4,PGE-TAC,3855
1972,2010-01-17,24,PGE-TAC,4414
1973,2010-01-17,21,PGE-TAC,5422
1974,2010-01-17,12,PGE-TAC,5146
1975,2010-01-17,9,PGE-TAC,4582
1976,2010-01-17,3,PGE-TAC,3902
1977,2010-01-17,19,PGE-TAC,5700
1978,2010-01-17,15,PGE-TAC,5105
1979,2010-01-17,18,PGE-TAC,5764
1980,2010-01-17,16,PGE-TAC,5019
1981,2010-01-17,14,PGE-TAC,5239
1982,2010-01-17,5,PGE-TAC,3861
1983,2010-01-17,2,PGE-TAC,3972
1984,2010-01-17,23,PGE-TAC,4765
1985,2010-01-17,20,PGE-TAC,5570
1986,2010-01-17,10,PGE-TAC,4866
1987,2010-01-17,17,PGE-TAC,5229
1988,2010-01-17,13,PGE-TAC,5191
1989,2010-01-17,1,PGE-TAC,4181
1990,2010-01-17,7,PGE-TAC,4163
1991,2010-01-17,11,PGE-TAC,5073
2088,2010-01-18,19,PGE-TAC,6299
2089,2010-01-18,15,PGE-TAC,5646
2090,2010-01-18,6,PGE-TAC,4303
2091,2010-01-18,2,PGE-TAC,3998
2092,2010-01-18,18,PGE-TAC,6345
2093,2010-01-18,12,PGE-TAC,5919
2094,2010-01-18,8,PGE-TAC,5050
2095,2010-01-18,4,PGE-TAC,3954
2096,2010-01-18,16,PGE-TAC,5695
2097,2010-01-18,10,PGE-TAC,5788
2098,2010-01-18,5,PGE-TAC,4107
2099,2010-01-18,3,PGE-TAC,3934
2100,2010-01-18,22,PGE-TAC,5514
2101,2010-01-18,17,PGE-TAC,5931
2102,2010-01-18,14,PGE-TAC,5697
2103,2010-01-18,13,PGE-TAC,5753
2104,2010-01-18,24,PGE-TAC,4594
2105,2010-01-18,20,PGE-TAC,6123
2106,2010-01-18,11,PGE-TAC,5984
2107,2010-01-18,1,PGE-TAC,4150
2108,2010-01-18,23,PGE-TAC,5053
2109,2010-01-18,9,PGE-TAC,5410
2110,2010-01-18,21,PGE-TAC,5891
2111,2010-01-18,7,PGE-TAC,4728
2208,2010-01-19,4,PGE-TAC,4080
2209,2010-01-19,21,PGE-TAC,5995
2210,2010-01-19,15,PGE-TAC,5635
2211,2010-01-19,10,PGE-TAC,5853
2212,2010-01-19,3,PGE-TAC,4063
2213,2010-01-19,1,PGE-TAC,4264
2214,2010-01-19,22,PGE-TAC,5649
2215,2010-01-19,13,PGE-TAC,5718
2216,2010-01-19,11,PGE-TAC,5790
2217,2010-01-19,19,PGE-TAC,6413
2218,2010-01-19,16,PGE-TAC,5832
2219,2010-01-19,12,PGE-TAC,5742
2220,2010-01-19,9,PGE-TAC,5795
2221,2010-01-19,7,PGE-TAC,5272
2222,2010-01-19,20,PGE-TAC,6287
2223,2010-01-19,18,PGE-TAC,6491
2224,2010-01-19,8,PGE-TAC,5633
2225,2010-01-19,6,PGE-TAC,4632
2226,2010-01-19,2,PGE-TAC,4110
2227,2010-01-19,23,PGE-TAC,5155
2228,2010-01-19,24,PGE-TAC,4700
2229,2010-01-19,14,PGE-TAC,5708
2230,2010-01-19,17,PGE-TAC,6041
2231,2010-01-19,5,PGE-TAC,4302
2328,2010-01-20,5,PGE-TAC,4311
2329,2010-01-20,10,PGE-TAC,6019
2330,2010-01-20,19,PGE-TAC,6474
2331,2010-01-20,15,PGE-TAC,5875
2332,2010-01-20,9,PGE-TAC,5792
2333,2010-01-20,12,PGE-TAC,5988
2334,2010-01-20,14,PGE-TAC,6016
2335,2010-01-20,17,PGE-TAC,6075
2336,2010-01-20,20,PGE-TAC,6352
2337,2010-01-20,3,PGE-TAC,4070
2338,2010-01-20,4,PGE-TAC,4110
2339,2010-01-20,18,PGE-TAC,6565
2340,2010-01-20,23,PGE-TAC,5241
